date,open,high,low,close,volume
13-08-18,180.1,182.61,178.9,180.05,17423264
14-08-18,180.71,181.99,178.62,181.11,19101995
15-08-18,179.34,180.87,174.78,179.53,33020231
16-08-18,180.42,180.5,174.01,174.7,31351784
17-08-18,174.5,176.22,172.04,173.8,24893176
20-08-18,174.04,174.57,170.91,172.5,21518006
21-08-18,172.81,174.17,171.39,172.62,19578514
22-08-18,172.21,174.24,172.13,173.64,16894083
23-08-18,173.09,175.55,172.83,172.9,18053567
24-08-18,173.7,174.82,172.92,174.645,14631556
27-08-18,175.99,178.67,175.79,177.46,17921935
28-08-18,178.1,178.2399,175.83,176.26,15910675
29-08-18,176.295,176.79,174.75,175.9,18678301
30-08-18,175.9,179.7901,175.7,177.64,24216532
31-08-18,177.15,177.62,174.9815,175.73,18065159
04-09-18,173.5,173.89,168.8,171.16,29808971
05-09-18,169.49,171.125,166.67,167.18,31226744
06-09-18,166.98,166.98,160,162.53,41514834
07-09-18,160.31,164.6269,160.16,163.04,24300600
10-09-18,163.51,165.01,162.16,164.18,20197680
11-09-18,163.94,167.19,163.72,165.94,20457088
12-09-18,163.25,164.49,161.8,162,24078118
13-09-18,162,163.32,160.86,161.36,25453775
14-09-18,161.715,162.84,160.34,162.32,21770405
17-09-18,161.92,162.06,159.77,160.58,21005321
18-09-18,159.39,161.7639,158.8656,160.3,22465236
19-09-18,160.08,163.44,159.48,163.06,19628996
20-09-18,164.5,166.45,164.4722,166.02,18936038
21-09-18,166.64,167.25,162.81,162.93,45994800
24-09-18,161.03,165.7,160.88,165.41,19222775
25-09-18,161.99,165.59,161.15,164.91,27622806
26-09-18,164.3,169.3,164.21,166.95,25252231
27-09-18,167.55,171.77,167.21,168.84,27266856
28-09-18,168.33,168.79,162.56,164.46,34265638
01-10-18,163.03,165.88,161.26,162.44,26407677
02-10-18,161.58,162.28,158.67,159.33,36030977
03-10-18,160,163.66,159.53,162.43,23109456
04-10-18,161.46,161.46,157.35,158.85,25739635
05-10-18,159.21,160.9,156.2,157.33,25744047
08-10-18,155.54,158.34,154.39,157.25,24045968
09-10-18,157.69,160.59,157.42,157.9,18844425
10-10-18,156.82,157.69,151.31,151.38,30609970
11-10-18,150.13,154.81,149.16,153.35,35338901
12-10-18,156.73,156.89,151.2998,153.74,24262196
15-10-18,153.32,155.57,152.55,153.52,15433521
16-10-18,155.4,159.46,155.01,158.78,19180095
17-10-18,159.56,160.49,157.95,159.42,17592003
18-10-18,158.51,158.66,153.28,154.92,21675084
19-10-18,155.86,157.35,153.55,154.05,19761347
22-10-18,154.76,157.34,154.46,154.78,15424658
23-10-18,151.22,154.77,150.85,154.39,18817416
24-10-18,154.28,154.65,145.6,146.04,27744597
25-10-18,147.73,152.21,147,150.95,22105696
26-10-18,145.82,149,143.8,145.37,31303341
29-10-18,148.5,148.83,139.03,142.09,31336784
